season,plays,runners_not_null,runners_nonempty,pct_nonempty,avg_runner_entries
2006,190792,190792,190791,100.00,1.379
2007,191262,191262,191260,100.00,1.382
2008,190616,190616,190615,100.00,1.376
2009,189942,189942,189933,100.00,1.373
2010,188404,188404,188402,100.00,1.367
2011,188748,188748,188746,100.00,1.361
2012,187522,187522,187520,100.00,1.356
2013,188105,188105,188105,100.00,1.351
2014,186899,186899,186897,100.00,1.350
2015,186899,186899,186898,100.00,1.349
2016,187681,187681,187679,100.00,1.350
2017,188607,188607,188607,100.00,1.349
2018,188245,188245,188243,100.00,1.343
2019,189738,189738,189736,100.00,1.340
2020,70667,70667,70666,100.00,1.349
2021,185014,185014,185010,100.00,1.343
2022,185543,185543,185541,100.00,1.336
2023,187676,187676,187676,100.00,1.348
2024,186243,186243,186243,100.00,1.341
2025,187107,187107,187105,100.00,1.343
2026,121518,121518,121518,100.00,1.349
