TABLE_NAME,INDEX_NAME,SEQ_IN_INDEX,COLUMN_NAME,NON_UNIQUE
mlb_boxscore_batting,PRIMARY,1,game_pk,0
mlb_boxscore_batting,PRIMARY,2,mlbam_id,0
mlb_boxscore_batting,PRIMARY,3,team_id,0
mlb_boxscore_batting,idx_mlb_boxscore_batting_mlbam_id,1,mlbam_id,1
mlb_boxscore_pitching,PRIMARY,1,game_pk,0
mlb_boxscore_pitching,PRIMARY,2,mlbam_id,0
mlb_boxscore_pitching,PRIMARY,3,team_id,0
mlb_boxscore_pitching,idx_mlb_boxscore_pitching_mlbam_id,1,mlbam_id,1
mlb_franchises,PRIMARY,1,team_id,0
mlb_games,PRIMARY,1,game_pk,0
mlb_games,idx_mlb_games_away_season,1,away_team_id,1
mlb_games,idx_mlb_games_away_season,2,season,1
mlb_games,idx_mlb_games_home_season,1,home_team_id,1
mlb_games,idx_mlb_games_home_season,2,season,1
mlb_games,idx_mlb_games_official_date,1,official_date,1
mlb_games,idx_mlb_games_season_type,1,season,1
mlb_games,idx_mlb_games_season_type,2,game_type,1
mlb_games,idx_mlb_games_venue,1,venue_id,1
mlb_officials,PRIMARY,1,game_pk,0
mlb_officials,PRIMARY,2,mlbam_id,0
mlb_people,PRIMARY,1,mlbam_id,0
mlb_pitches,PRIMARY,1,play_id,0
mlb_pitches,idx_mlb_pitches_batter_season,1,batter_id,1
mlb_pitches,idx_mlb_pitches_batter_season,2,season,1
mlb_pitches,idx_mlb_pitches_game_pk,1,game_pk,1
mlb_pitches,idx_mlb_pitches_pitcher_season,1,pitcher_id,1
mlb_pitches,idx_mlb_pitches_pitcher_season,2,season,1
mlb_plays,PRIMARY,1,game_pk,0
mlb_plays,PRIMARY,2,at_bat_index,0
mlb_plays,idx_mlb_plays_batter,1,batter_id,1
mlb_plays,idx_mlb_plays_event_type,1,event_type,1
mlb_plays,idx_mlb_plays_pitcher,1,pitcher_id,1
mlb_seasons,PRIMARY,1,season,0
mlb_venues,PRIMARY,1,venue_id,0
