season,games,loaded_at_utc,min_feed_timestamp,max_feed_timestamp,feed_ts_in_season_year,feed_ts_in_202607_crawl_window,feed_ts_null
2006,2460,2026-07-28 20:43:49,20260727_084544,20260727_101605,0,2460,0
2007,2460,2026-07-28 20:43:49,20260727_101636,20260727_114458,0,2460,0
2008,2461,2026-07-28 20:43:49,20260727_114525,20260727_125748,0,2461,0
2009,2461,2026-07-28 20:43:49,20260727_125817,20260727_141527,0,2461,0
2010,2463,2026-07-28 20:43:49,20100405_035624,20101102_023029,2463,0,0
2011,2468,2026-07-28 20:43:49,20110331_194337,20111029_032228,2468,0,0
2012,2468,2026-07-28 20:43:49,20120328_131426,20121029_035027,2468,0,0
2013,2470,2026-07-28 20:43:49,20130401_030840,20131031_032309,2470,0,0
2014,2463,2026-07-28 20:43:49,20140322_114950,20141030_032149,2463,0,0
2015,2466,2026-07-28 20:43:49,20150406_032106,20151102_053359,2466,0,0
2016,2464,2026-07-28 20:43:49,20160403_201743,20161103_044742,2464,0,0
2017,2469,2026-07-28 20:43:49,20170402_203338,20171102_035853,2469,0,0
2018,2465,2026-07-28 20:43:49,20180329_200114,20181029_031720,2465,0,0
2019,2467,2026-07-28 20:43:49,20190320_130024,20191031_035012,2467,0,0
2020,951,2026-07-28 20:43:49,20200724_005247,20201028_033757,951,0,0
2021,2467,2026-07-28 22:40:21,20210401_201616,20211103_033304,2467,0,0
2022,2471,2026-07-28 20:43:49,20220407_214038,20221106_031702,2471,0,0
2023,2472,2026-07-28 20:43:49,20230330_194337,20231102_030054,2472,0,0
2024,2473,2026-07-28 20:43:49,20240320_131250,20241031_035122,2473,0,0
2025,2478,2026-07-28 20:43:49,20250318_124835,20251102_041719,2478,0,0
2026,1602,2026-07-29 01:59:20,20260326_025244,20260729_013126,1602,336,0
