season	games	zero_officials	three_ump	four_ump	five_ump	six_ump	hp_games	hp_pct
2006	2460	0	3	2426	0	31	2460	100.00
2007	2460	0	6	2424	0	30	2460	100.00
2008	2461	0	0	2427	0	34	2461	100.00
2009	2461	0	3	2426	0	32	2461	100.00
2010	2463	0	1	2429	0	33	2463	100.00
2011	2468	0	6	2423	0	39	2468	100.00
2012	2468	0	5	2425	0	38	2468	100.00
2013	2470	0	1	2429	0	40	2470	100.00
2014	2463	0	1	2429	0	33	2463	100.00
2015	2466	0	0	2429	0	37	2466	100.00
2016	2464	0	1	2427	0	36	2464	100.00
2017	2469	0	1	2429	0	39	2469	100.00
2018	2465	0	1	2428	0	36	2465	100.00
2019	2467	0	0	2429	0	38	2467	100.00
2020	951	0	0	898	0	53	951	100.00
2021	2467	0	1	2428	0	38	2467	100.00
2022	2471	0	6	2424	0	41	2471	100.00
2023	2472	0	0	2430	0	42	2472	100.00
2024	2473	0	1	2428	0	44	2473	100.00
2025	2478	0	0	2430	0	48	2478	100.00
2026	1602	0	0	1601	0	1	1602	100.00
