mlbam_id	full_name	primary_position	active	mlb_debut
434558	Scott Tyler	P	0	\N
446952	Luis Munoz	P	0	\N
453040	Mike Ballard	P	0	\N
454441	Travis Hanson	3B	0	\N
454573	Cole Armstrong	C	0	\N
458911	Tom Cochran	P	0	\N
460313	Kyler Newby	P	0	\N
470920	José Yépez	C	0	\N
475300	Connor Graham	P	0	\N
488798	Ben Copeland	LF	0	\N
489244	Jason Rice	P	0	\N
501489	Gernaldo Castillo	SS	0	\N
501679	Frank De Los Santos	P	0	\N
502089	Brian Jeroloman	C	0	\N
502103	Mike Antonini	P	0	\N
502175	Caleb Clay	P	0	\N
502638	Shaeffer Hall	P	0	\N
502803	T.J. Kelly	P	0	\N
502828	Johnathon Moore	C	0	\N
518854	Chris Jones	P	0	\N
519224	Jonathan Roof	SS	0	\N
519255	Cody Scarpetta	P	0	\N
519452	Shawn Zarraga	C	0	\N
534069	Matt Williams	C	0	\N
542451	Charli Blanco	OF	0	\N
542553	Jose Rosario	1B	0	\N
543204	Grayson Garvin	P	0	\N
561987	Daniel Lopez	CF	0	\N
571503	Ryan Bollinger	P	0	\N
571726	Steve Grife	P	0	\N
571981	Telvin Nash	1B	0	\N
572053	Hector Rabago	C	0	\N
572257	Robert Whitenack	P	0	\N
572718	Tim Berry	P	0	\N
573233	Benjamin Watkins	P	0	\N
573263	Shane Zegarac	P	0	\N
573655	Paul Heidler	P	0	\N
592218	Frankie Christian	OF	0	\N
592486	Michael Lang	OF	0	\N
592580	Griffin Murphy	P	0	\N
592604	Justin O'Conner	P	1	\N
594869	Kevin Johnson	P	0	\N
595145	James Buckelew	P	0	\N
595296	Chris Lee	P	0	\N
595359	Matt Perry	3B	0	\N
598626	Jose Ruiz	1B	0	\N
605214	Taylor Dugas	LF	0	\N
607185	Clayton Blackburn	P	0	\N
607414	Jeff Johnson	P	0	\N
607750	Scott Tomassetti	C	0	\N
608421	Eliezer Álvarez	2B	0	\N
608589	Ronnier Mustelier	LF	0	\N
611470	Liam Bedford	C	0	\N
611471	Sam Gibbons	P	0	\N
620447	Frandy De La Rosa	2B	0	\N
622811	Bladimil Franco	RF	0	\N
623313	Lucas Herbst	RF	0	\N
623979	Juan Caballero	P	0	\N
641376	Justin Bohn	SS	0	\N
643239	Parker Bugg	P	0	\N
644443	Luis Ysla	P	0	\N
649963	Bo Takahashi	P	1	\N
651002	Steven Fuentes	P	1	\N
657022	Trey Supak	P	1	\N
657595	Gianpaul Gonzalez	C	0	\N
660613	Ronaldo Hernández	C	1	\N
661541	Donovan Casey	RF	1	\N
665600	Jasseel De La Cruz	P	0	\N
665834	Jeison Guzmán	SS	1	\N
666563	Jeff Singer	P	0	\N
669285	Dan Hammer	P	1	\N
669626	Corey Bird	CF	1	\N
670109	Jacob Bosiokovic	P	0	\N
670119	Connor Grey	P	0	\N
672463	Rafael Lantigua	2B	1	\N
673064	Alex Hall	C	1	\N
673603	Luis Romero	P	1	\N
673662	Robinson Ortiz	P	1	\N
674175	Houston Roth	P	1	\N
676601	Logan Salow	P	0	\N
676726	Chris Muller	P	1	\N
677985	Jonathan Diaz	C	0	\N
680192	Luis Diaz	P	0	\N
680397	Sam Benschoter	P	1	\N
682033	Keegan McCarville	P	0	\N
682240	Stephen Jones	P	1	\N
682616	Diego Cartaya	C	1	\N
685464	Cade Winquest	P	1	\N
691021	A.J. Vukovich	OF	1	\N
691108	Nick Belzer	P	0	\N
691267	Alex Ramírez	OF	1	\N
693759	Euri Montero	P	1	\N
695596	Nick Raposo	C	1	\N
697811	Dylan Ross	P	1	\N
699315	Sebastian Castro	OF	0	\N
702247	Gavin Tonkel	OF	0	\N
702910	Jhancarlos Lara	P	1	\N
800241	Keninson Diaz	P	0	\N
800329	Alexander Martinez	C	1	\N
801252	Alfredo Romero	P	1	\N
802528	Agustin Acosta	CF	1	\N
805096	Eiver Espinoza	P	1	\N
807641	Angelo Mora	C	0	\N
814869	American League	X	1	\N
814870	National League	X	1	\N
828703	Alberto Toribio	P	1	\N
836016	Michael Nieto	IF	1	\N
843979	John Andy Rodriguez	C	1	\N
