venue_id	name	active	city	state	timezone	capacity	roof_type	turf_type	left_line	left_field	left_center	center	right_center	right_field	right_line	games	first_season	last_season	seasons_used
22	UNIQLO Field at Dodger Stadium	1	Los Angeles	California	America/Los_Angeles	56000	Open	Grass	330	\N	385	395	385	\N	330	1696	2006	2026	21
2681	Citizens Bank Park	1	Philadelphia	Pennsylvania	America/New_York	42901	Open	Grass	329	369	381	401	398	369	330	1673	2006	2026	21
2392	Daikin Park	1	Houston	Texas	America/Chicago	41000	Retractable	Grass	315	\N	362	409	373	\N	326	1667	2006	2026	21
2889	Busch Stadium	1	St. Louis	Missouri	America/Chicago	44494	Open	Grass	336	\N	375	400	375	\N	335	1664	2006	2026	21
3	Fenway Park	1	Boston	Massachusetts	America/New_York	37755	Open	Grass	310	379	390	420	380	\N	302	1659	2006	2026	21
32	American Family Field	1	Milwaukee	Wisconsin	America/Chicago	41700	Retractable	Grass	344	\N	371	400	374	\N	345	1658	2006	2026	21
2395	Oracle Park	1	San Francisco	California	America/Los_Angeles	41915	Open	Grass	339	\N	399	391	415	\N	309	1653	2006	2026	21
5	Progressive Field	1	Cleveland	Ohio	America/New_York	34788	Open	Grass	325	370	410	405	375	\N	325	1650	2006	2026	21
17	Wrigley Field	1	Chicago	Illinois	America/Chicago	41363	Open	Grass	355	\N	368	400	368	\N	353	1650	2006	2026	21
2394	Comerica Park	1	Detroit	Michigan	America/Detroit	41083	Open	Grass	345	\N	370	420	365	\N	330	1647	2006	2026	21
2680	Petco Park	1	San Diego	California	America/Los_Angeles	40222	Open	Grass	336	367	386	396	391	378	322	1643	2006	2026	21
7	Kauffman Stadium	1	Kansas City	Missouri	America/Chicago	38427	Open	Grass	347	364	379	410	379	364	344	1639	2006	2026	21
2	Oriole Park at Camden Yards	1	Baltimore	Maryland	America/New_York	44970	Open	Grass	333	363	376	410	373	373	318	1635	2006	2026	21
15	Chase Field	1	Phoenix	Arizona	America/Phoenix	48359	Retractable	Artificial Turf	328	376	412	407	414	376	335	1634	2006	2026	21
1	Angel Stadium	1	Anaheim	California	America/Los_Angeles	45517	Open	Grass	330	347	389	396	365	348	330	1633	2006	2026	21
19	Coors Field	1	Denver	Colorado	America/Denver	50144	Open	Grass	347	390	420	415	424	375	350	1630	2006	2026	21
31	PNC Park	1	Pittsburgh	Pennsylvania	America/New_York	38753	Open	Grass	325	389	410	399	375	\N	320	1629	2006	2026	21
680	T-Mobile Park	1	Seattle	Washington	America/Los_Angeles	47929	Retractable	Grass	331	\N	390	405	387	\N	327	1628	2006	2026	21
4	Rate Field	1	Chicago	Illinois	America/Chicago	40241	Open	Grass	330	\N	377	400	372	\N	335	1623	2006	2026	21
2602	Great American Ball Park	1	Cincinnati	Ohio	America/New_York	43891	Open	Grass	328	\N	379	404	370	\N	325	1620	2006	2026	21
14	Rogers Centre	1	Toronto	Ontario	America/Toronto	49282	Retractable	Artificial Turf	328	\N	375	404	375	\N	328	1570	2006	2026	20
12	Tropicana Field	1	St. Petersburg	Florida	America/New_York	25025	Dome	Artificial Turf	315	370	410	404	404	370	322	1561	2006	2026	20
10	McAfee Coliseum	1	Oakland	California	America/Los_Angeles	34077	Open	Grass	330	367	388	400	388	367	330	1497	2006	2024	19
3309	Nationals Park	1	Washington	District of Columbia	America/New_York	41376	Open	Grass	336	\N	377	402	370	\N	335	1480	2008	2026	19
3313	Yankee Stadium	1	Bronx	New York	America/New_York	47309	Open	Grass	318	\N	399	408	385	\N	314	1428	2009	2026	18
3289	Citi Field	1	Flushing	New York	America/New_York	42136	Open	Grass	335	358	370	408	380	370	330	1396	2009	2026	18
3312	Target Field	1	Minneapolis	Minnesota	America/Chicago	38544	Open	Grass	339	\N	377	404	367	\N	328	1308	2010	2026	17
