gamePk,season,officialDate,gameDate,gameType,seriesDescription,doubleHeader,gameNumber,status,codedState,away,awayId,awayScore,home,homeId,homeScore,winner,loser,save,innings,venue,dayNight,seriesGameNumber,gamesInSeries,isTie,resumeDate,rescheduleDate
39939,2006,2006-04-02,2006-04-03T00:05:00Z,R,Regular Season,N,1,Final,F,Cleveland Indians,114,4,Chicago White Sox,145,10,Brandon McCarthy,Fernando Cabrera,,9,U.S. Cellular Field,night,1,3,False,,
39947,2006,2006-04-03,2006-04-03T17:10:00Z,R,Regular Season,N,1,Final,F,Washington Nationals,120,2,New York Mets,121,3,Tom Glavine,Livan Hernandez,Billy Wagner,9,Shea Stadium,day,1,3,False,,
39946,2006,2006-04-03,2006-04-03T18:05:00Z,R,Regular Season,N,1,Final,F,Pittsburgh Pirates,134,2,Milwaukee Brewers,158,5,Justin Lehr,Salomon Torres,Derrick Turnbow,9,Miller Park,day,1,3,False,,
39952,2006,2006-04-03,2006-04-03T18:05:00Z,R,Regular Season,N,1,Final,F,Boston Red Sox,111,7,Texas Rangers,140,3,Curt Schilling,Kevin Millwood,,9,Ameriquest Field,day,1,3,False,,
39941,2006,2006-04-03,2006-04-03T18:10:00Z,R,Regular Season,N,1,Final,F,Chicago Cubs,112,16,Cincinnati Reds,113,7,Will Ohman,Aaron Harang,,9,Great American Ball Park,day,1,2,False,,
39940,2006,2006-04-03,2006-04-03T19:05:00Z,R,Regular Season,N,1,Final,F,Tampa Bay Devil Rays,139,6,Baltimore Orioles,110,9,Rodrigo Lopez,Scott Kazmir,Chris Ray,9,Oriole Park at Camden Yards,day,1,3,False,,
39949,2006,2006-04-03,2006-04-03T19:05:00Z,R,Regular Season,N,1,Final,F,St. Louis Cardinals,138,13,Philadelphia Phillies,143,5,Chris Carpenter,Jon Lieber,,9,Citizens Bank Park,day,1,3,False,,
39942,2006,2006-04-03,2006-04-03T20:05:00Z,R,Regular Season,N,1,Final,F,Arizona Diamondbacks,109,2,Colorado Rockies,115,3,Mike DeJean,Jason Grimsley,,11,Coors Field,day,1,3,False,,
39944,2006,2006-04-03,2006-04-03T20:10:00Z,R,Regular Season,N,1,Final,F,Detroit Tigers,116,3,Kansas City Royals,118,1,Kenny Rogers,Scott Elarton,Fernando Rodney,9,Kauffman Stadium,day,1,2,False,,
39945,2006,2006-04-03,2006-04-03T20:10:00Z,R,Regular Season,N,1,Final,F,Atlanta Braves,144,11,Los Angeles Dodgers,119,10,Oscar Villarreal,Derek Lowe,Chris Reitsma,9,Dodger Stadium,day,1,3,False,,
39951,2006,2006-04-03,2006-04-03T21:05:00Z,R,Regular Season,N,1,Final,F,Los Angeles Angels,108,5,Seattle Mariners,136,4,Scot Shields,George Sherrill,Francisco Rodríguez,9,Safeco Field,day,1,3,False,,
39943,2006,2006-04-03,2006-04-03T23:05:00Z,R,Regular Season,N,1,Final,F,Florida Marlins,146,0,Houston Astros,117,1,Roy Oswalt,Josh Johnson,Brad Lidge,9,Minute Maid Park,night,1,3,False,,
39950,2006,2006-04-03,2006-04-03T23:05:00Z,R,Regular Season,N,1,Final,F,San Francisco Giants,137,1,San Diego Padres,135,6,Jake Peavy,Jason Schmidt,,9,PETCO Park,day,1,2,False,,
39948,2006,2006-04-03,2006-04-04T02:05:00Z,R,Regular Season,N,1,Final,F,New York Yankees,147,15,Oakland Athletics,133,2,Randy Johnson,Barry Zito,,9,McAfee Coliseum,night,1,3,False,,
