season,rows_total,start_speed_pct,end_speed_pct,spin_rate_pct,extension_pct,plate_time_pct,px_pct,pz_pct,zone_pct,sz_top_pct,sz_bot_pct,break_angle_pct,break_length_pct,break_vertical_pct,break_horizontal_pct,type_confidence_pct,pitch_type_code_pct,call_code_pct,is_in_play_pct,in_play_rows,launch_speed_pct_all,launch_angle_pct_all,total_distance_pct_all,hit_coord_x_pct_all,hit_coord_y_pct_all,trajectory_pct,in_play_rows,launch_speed_pct_inplay,launch_angle_pct_inplay,total_distance_pct_inplay,hit_coord_x_pct_inplay,trajectory_pct_inplay
2006,716312,0.74,0.74,0.74,0.00,0.00,0.74,0.74,0.74,100.00,100.00,0.74,0.74,0.00,0.00,0.74,0.74,100.00,100.00,140435,0.00,0.00,0.00,18.14,18.14,19.61,140435,0.00,0.00,0.00,92.53,100.00
2007,720780,45.68,45.68,45.68,0.00,0.00,45.68,45.68,45.68,100.00,100.00,45.68,45.68,0.00,0.00,45.59,45.68,100.00,100.00,140121,0.00,0.00,0.00,17.95,17.95,19.44,140121,0.00,0.00,0.00,92.33,100.00
2008,724197,96.57,96.57,96.57,0.00,0.00,96.57,96.57,96.57,100.00,100.00,96.57,96.57,0.00,0.00,96.57,96.57,100.00,100.00,138507,0.00,0.00,0.00,17.41,17.41,19.13,138507,0.00,0.00,0.00,91.01,100.00
2009,726355,98.82,98.82,98.82,0.00,0.00,98.82,98.82,98.82,100.00,100.00,98.82,98.82,0.00,0.00,98.82,98.82,100.00,100.00,136943,0.00,0.00,0.00,17.52,17.52,18.85,136943,0.00,0.00,0.00,92.94,100.00
2010,719833,99.39,99.39,99.39,0.00,0.00,99.39,99.39,99.39,100.00,100.00,99.39,99.39,0.00,0.00,99.39,99.39,100.00,100.00,135553,0.00,0.00,0.00,17.43,17.43,18.83,135553,0.00,0.00,0.00,92.55,100.00
2011,719209,99.69,99.69,99.69,0.00,0.00,99.69,99.69,99.69,100.00,100.00,99.69,99.69,0.00,0.00,99.69,99.69,100.00,100.00,136263,0.00,0.00,0.00,17.48,17.48,18.95,136263,0.00,0.00,0.00,92.25,100.00
2012,716526,99.74,99.74,99.74,0.00,0.00,99.74,99.74,99.74,100.00,100.00,99.74,99.74,0.00,0.00,99.74,99.74,100.00,100.00,133528,0.00,0.00,0.00,18.24,18.24,18.64,133528,0.00,0.00,0.00,97.86,100.00
2013,720971,99.87,99.87,99.87,0.00,0.00,99.87,99.87,99.87,100.00,100.00,99.87,99.87,0.00,0.00,99.87,99.87,100.00,100.00,133883,0.00,0.00,0.00,18.52,18.52,18.57,133883,0.00,0.00,0.00,99.72,100.00
2014,714571,99.75,99.75,99.75,0.00,0.00,99.75,99.75,99.75,100.00,100.00,99.75,99.75,0.00,0.00,99.75,99.75,100.00,100.00,132624,0.00,0.00,0.00,18.37,18.37,18.56,132624,0.00,0.00,0.00,98.99,100.00
2015,713127,99.75,99.75,99.75,0.13,0.13,99.75,99.75,99.75,100.00,100.00,99.75,99.75,0.13,0.13,99.67,99.75,100.00,100.00,132346,16.13,16.13,16.13,17.89,17.89,18.56,132346,86.91,86.91,86.90,96.41,100.00
