market,series,fold,n,logloss
fg_ml,deployable,2021,2422,0.686131753859818
fg_ml,deployable,2022,2421,0.6995297706783967
fg_ml,deployable,2023,2427,0.6934654250487039
fg_ml,deployable,2024,2425,0.6877259237735246
fg_ml,deployable,2025,2425,0.6857031582852057
fg_ml,deployable,2026,1595,0.701538793022121
fg_ml,oracle,2021,2422,0.6856588903521386
fg_ml,oracle,2022,2421,0.6823520523635372
fg_ml,oracle,2023,2427,0.6948815090457723
fg_ml,oracle,2024,2425,0.6923151071591388
fg_ml,oracle,2025,2425,0.6832937033178441
fg_ml,oracle,2026,1595,0.7037166061164193
f5_ml,deployable,2021,2070,0.7151746167542649
f5_ml,deployable,2022,1994,0.6875163008177957
f5_ml,deployable,2023,2062,0.6921727976352486
f5_ml,deployable,2024,2086,0.6879624682202878
f5_ml,deployable,2025,2039,0.6854261971429015
f5_ml,deployable,2026,1345,0.6934142676461812
f5_ml,oracle,2021,2070,0.6985973441818863
f5_ml,oracle,2022,1994,0.6715104685010654
f5_ml,oracle,2023,2062,0.6906004580057669
f5_ml,oracle,2024,2086,0.6820140035412992
f5_ml,oracle,2025,2039,0.6778100381396788
f5_ml,oracle,2026,1345,0.7001964578114148
nrfi,deployable,2021,2422,0.7039731425069556
nrfi,deployable,2022,2421,0.6939922261560117
nrfi,deployable,2023,2427,0.7004839931092457
nrfi,deployable,2024,2425,0.6931037826636391
nrfi,deployable,2025,2425,0.69885863611487
nrfi,deployable,2026,1595,0.6923486936206023
nrfi,oracle,2021,2422,0.7275419428749685
nrfi,oracle,2022,2421,0.702068311825577
nrfi,oracle,2023,2427,0.6975968408755193
nrfi,oracle,2024,2425,0.6957380543880153
nrfi,oracle,2025,2425,0.7017384284443262
nrfi,oracle,2026,1595,0.6908384853276791
