state,fold,block,winner,dev_glm_0.0001,dev_glm_0.001,dev_glm_0.01,dev_glm_0.1,dev_hgb
A,2021,h1,glm_0.1,1.45745,1.45701,1.45406,1.44422,1.47279
A,2021,a1,glm_0.1,1.43595,1.43567,1.43417,1.42902,1.45087
A,2021,h25,glm_0.1,0.59049,0.59046,0.59046,0.58952,0.59713
A,2021,a25,glm_0.1,0.59834,0.59818,0.59708,0.59455,0.61454
A,2021,h69,glm_0.1,0.54752,0.54747,0.54663,0.54388,0.55027
A,2021,a69,glm_0.1,0.57196,0.57187,0.57111,0.56959,0.5765
A,2022,h1,glm_0.1,1.59392,1.59391,1.59336,1.59074,1.63509
A,2022,a1,glm_0.1,1.47965,1.47949,1.47846,1.47636,1.50893
A,2022,h25,glm_0.1,0.57814,0.57793,0.57659,0.57497,0.58524
A,2022,a25,glm_0.1,0.53449,0.53446,0.53411,0.53269,0.54095
A,2022,h69,glm_0.1,0.52848,0.52833,0.5276,0.52617,0.53935
A,2022,a69,glm_0.1,0.5622,0.56214,0.56131,0.55994,0.57032
A,2023,h1,glm_0.1,1.5169,1.51653,1.51468,1.51128,1.55608
A,2023,a1,glm_0.1,1.31848,1.31841,1.31728,1.31363,1.3446
A,2023,h25,glm_0.1,0.56671,0.56663,0.56606,0.56515,0.57497
A,2023,a25,glm_0.1,0.54858,0.54847,0.54812,0.54703,0.55894
A,2023,h69,glm_0.1,0.49819,0.49813,0.49767,0.49649,0.50161
A,2023,a69,glm_0.1,0.53915,0.53902,0.53813,0.537,0.54262
A,2024,h1,glm_0.1,1.5414,1.54132,1.54065,1.537,1.56222
A,2024,a1,glm_0.1,1.41807,1.41784,1.4165,1.41364,1.46292
A,2024,h25,glm_0.1,0.5761,0.57603,0.57547,0.57348,0.58116
A,2024,a25,glm_0.1,0.57534,0.57527,0.57512,0.57478,0.58315
A,2024,h69,glm_0.1,0.5429,0.54285,0.54247,0.54124,0.54481
A,2024,a69,glm_0.1,0.5512,0.55113,0.55046,0.54811,0.56459
A,2025,h1,glm_0.1,1.52856,1.52844,1.52771,1.52602,1.55699
A,2025,a1,glm_0.1,1.35552,1.35536,1.35427,1.35024,1.37601
A,2025,h25,glm_0.1,0.55954,0.55948,0.55907,0.55805,0.56491
A,2025,a25,glm_0.1,0.54127,0.54122,0.54082,0.53957,0.5438
A,2025,h69,glm_0.1,0.51212,0.51206,0.5116,0.51013,0.5172
A,2025,a69,glm_0.1,0.56856,0.5685,0.56813,0.56744,0.57869
A,2026,h1,glm_0.1,1.53184,1.53174,1.5311,1.52925,1.55077
A,2026,a1,glm_0.1,1.41056,1.41044,1.40945,1.40607,1.43412
A,2026,h25,glm_0.1,0.54009,0.54004,0.53954,0.5377,0.54325
A,2026,a25,glm_0.1,0.54437,0.54435,0.54414,0.54338,0.54824
A,2026,h69,glm_0.1,0.54883,0.54879,0.54851,0.54736,0.55147
A,2026,a69,glm_0.1,0.59428,0.59423,0.59406,0.59338,0.59837
