state,fold,block,winner,dev_glm_0.0001,dev_glm_0.001,dev_glm_0.01,dev_glm_0.1,dev_hgb
B,2021,h1,glm_0.1,1.43471,1.43448,1.43393,1.42894,1.46105
B,2021,a1,glm_0.1,1.44155,1.44128,1.43901,1.43118,1.46648
B,2021,h25,glm_0.1,0.58194,0.58184,0.58131,0.57988,0.59752
B,2021,a25,glm_0.1,0.59141,0.59138,0.59079,0.5877,0.60735
B,2021,h69,glm_0.1,0.54656,0.54642,0.54548,0.54288,0.54946
B,2021,a69,glm_0.1,0.56838,0.56827,0.56757,0.56644,0.57019
B,2022,h1,glm_0.1,1.58255,1.5824,1.58167,1.57993,1.63442
B,2022,a1,glm_0.1,1.47067,1.47056,1.46926,1.46544,1.51199
B,2022,h25,glm_0.1,0.56547,0.56521,0.56384,0.56247,0.57252
B,2022,a25,glm_0.1,0.53279,0.53273,0.53191,0.52936,0.53828
B,2022,h69,glm_0.1,0.5297,0.52958,0.52896,0.5275,0.54016
B,2022,a69,glm_0.1,0.56005,0.56002,0.55969,0.55881,0.56633
B,2023,h1,glm_0.1,1.49951,1.49944,1.49862,1.49712,1.51914
B,2023,a1,glm_0.1,1.31407,1.3138,1.3119,1.30513,1.31629
B,2023,h25,glm_0.1,0.56064,0.56062,0.56036,0.56001,0.57007
B,2023,a25,glm_0.1,0.54095,0.54094,0.54077,0.54042,0.55131
B,2023,h69,glm_0.1,0.49531,0.49525,0.49488,0.49428,0.49879
B,2023,a69,glm_0.1,0.53806,0.538,0.53759,0.53656,0.54579
B,2024,h1,glm_0.1,1.53747,1.53707,1.53423,1.52707,1.57092
B,2024,a1,glm_0.1,1.40345,1.40339,1.40281,1.40096,1.44026
B,2024,h25,glm_0.1,0.57148,0.57137,0.57069,0.56952,0.58277
B,2024,a25,glm_0.1,0.57295,0.57287,0.57235,0.57151,0.58577
B,2024,h69,glm_0.1,0.54119,0.54109,0.54061,0.53959,0.54521
B,2024,a69,glm_0.1,0.55023,0.55023,0.54986,0.54823,0.55958
B,2025,h1,glm_0.1,1.52974,1.52951,1.52823,1.52419,1.53749
B,2025,a1,glm_0.1,1.35167,1.35142,1.34972,1.34403,1.37723
B,2025,h25,glm_0.1,0.55525,0.55517,0.55485,0.55422,0.56067
B,2025,a25,glm_0.1,0.54058,0.54055,0.54026,0.53929,0.54599
B,2025,h69,glm_0.1,0.51365,0.5136,0.51315,0.5114,0.51686
B,2025,a69,glm_0.1,0.56923,0.56917,0.56892,0.56813,0.57726
B,2026,h1,glm_0.1,1.53227,1.53216,1.53127,1.52793,1.55842
B,2026,a1,glm_0.1,1.40018,1.40005,1.39924,1.39728,1.42583
B,2026,h25,glm_0.1,0.53512,0.53508,0.53483,0.53359,0.54261
B,2026,a25,glm_0.1,0.53718,0.53719,0.537,0.53657,0.54085
B,2026,h69,glm_0.1,0.54786,0.54781,0.54751,0.54669,0.5528
B,2026,a69,glm_0.1,0.59675,0.59668,0.59623,0.59441,0.59904
