state,fold,block,winner,dev_glm_0.0001,dev_glm_0.001,dev_glm_0.01,dev_glm_0.1,dev_hgb
C,2021,h1,glm_0.1,1.4375,1.43735,1.43671,1.43194,1.45442
C,2021,a1,glm_0.1,1.44927,1.44892,1.4464,1.43807,1.45447
C,2021,h25,glm_0.1,0.58359,0.58347,0.58282,0.5809,0.5972
C,2021,a25,glm_0.1,0.58783,0.58777,0.58743,0.58519,0.5981
C,2021,h69,glm_0.1,0.54664,0.54649,0.5455,0.5427,0.55449
C,2021,a69,glm_0.1,0.56809,0.56813,0.56736,0.56657,0.57866
C,2022,h1,glm_0.1,1.58065,1.58051,1.57972,1.57794,1.62051
C,2022,a1,glm_0.1,1.47323,1.47295,1.47124,1.46624,1.52092
C,2022,h25,glm_0.1,0.56594,0.56569,0.56426,0.56257,0.57589
C,2022,a25,glm_0.1,0.53132,0.53121,0.53052,0.52842,0.53841
C,2022,h69,glm_0.1,0.53034,0.53025,0.52957,0.52787,0.53757
C,2022,a69,glm_0.1,0.55983,0.55979,0.55941,0.55855,0.56814
C,2023,h1,glm_0.1,1.50168,1.5016,1.50106,1.4997,1.53922
C,2023,a1,glm_0.1,1.3194,1.3191,1.31683,1.30833,1.31006
C,2023,h25,glm_0.01,0.55915,0.55911,0.55896,0.5591,0.56905
C,2023,a25,glm_0.1,0.54083,0.5408,0.54059,0.54011,0.55226
C,2023,h69,glm_0.1,0.49516,0.49509,0.49469,0.49394,0.4998
C,2023,a69,glm_0.1,0.53905,0.53897,0.53851,0.53722,0.54397
C,2024,h1,glm_0.1,1.53948,1.53903,1.53623,1.52896,1.56557
C,2024,a1,glm_0.1,1.40224,1.40217,1.40182,1.40049,1.42909
C,2024,h25,glm_0.1,0.56996,0.56986,0.56919,0.56796,0.57983
C,2024,a25,glm_0.1,0.57269,0.57261,0.57213,0.57115,0.58097
C,2024,h69,glm_0.1,0.53933,0.53926,0.53883,0.53814,0.54749
C,2024,a69,glm_0.1,0.54974,0.54971,0.54945,0.54805,0.55887
C,2025,h1,glm_0.1,1.5306,1.5304,1.52929,1.5259,1.54879
C,2025,a1,glm_0.1,1.34877,1.34855,1.34711,1.34264,1.37287
C,2025,h25,glm_0.1,0.555,0.55492,0.5545,0.55364,0.55887
C,2025,a25,glm_0.1,0.54096,0.54094,0.54073,0.53971,0.54688
C,2025,h69,glm_0.1,0.51254,0.5125,0.51225,0.51091,0.51762
C,2025,a69,glm_0.1,0.56838,0.56835,0.56813,0.56763,0.57765
C,2026,h1,glm_0.1,1.5294,1.5293,1.52864,1.52631,1.56231
C,2026,a1,glm_0.1,1.39859,1.39847,1.39776,1.39597,1.42332
C,2026,h25,glm_0.1,0.53417,0.53412,0.53384,0.53264,0.54283
C,2026,a25,glm_0.1,0.53749,0.53747,0.53726,0.53692,0.54215
C,2026,h69,glm_0.1,0.5486,0.54856,0.54826,0.54734,0.55302
C,2026,a69,glm_0.1,0.59567,0.59561,0.59519,0.59374,0.60229
