season,rule_branch,n,hit_rate
2006,fallback_most_recent,67,0.0
2006,none,30,0.0
2006,rotation_oldest_rested,4803,0.5302935665209244
2007,fallback_most_recent,63,0.0
2007,none,30,0.0
2007,rotation_oldest_rested,4815,0.5335410176531672
2008,fallback_most_recent,66,0.0
2008,none,30,0.0
2008,rotation_oldest_rested,4818,0.5560398505603985
2009,fallback_most_recent,74,0.0
2009,none,30,0.0
2009,rotation_oldest_rested,4784,0.5323996655518395
2010,fallback_most_recent,66,0.0
2010,none,30,0.0
2010,rotation_oldest_rested,4814,0.6134191940174492
2011,fallback_most_recent,69,0.0
2011,none,30,0.0
2011,rotation_oldest_rested,4821,0.6100394109105994
2012,fallback_most_recent,73,0.0
2012,none,30,0.0
2012,rotation_oldest_rested,4817,0.5621756279842225
2013,fallback_most_recent,66,0.0
2013,none,30,0.0
2013,rotation_oldest_rested,4826,0.5401989225031082
2014,fallback_most_recent,66,0.0
2014,none,30,0.0
2014,rotation_oldest_rested,4820,0.5902489626556017
2015,fallback_most_recent,62,0.0
2015,none,30,0.0
2015,rotation_oldest_rested,4830,0.5215320910973085
2016,fallback_most_recent,68,0.0
2016,none,30,0.0
2016,rotation_oldest_rested,4814,0.5265891150810137
2017,fallback_most_recent,63,0.0
2017,none,30,0.0
2017,rotation_oldest_rested,4839,0.4831576772060343
2018,fallback_most_recent,74,0.0
2018,none,30,0.0
2018,rotation_oldest_rested,4814,0.48774407976734524
2019,fallback_most_recent,74,0.0
2019,none,30,0.0
2019,rotation_oldest_rested,4808,0.45299500831946754
2020,fallback_most_recent,84,0.0
2020,none,32,0.0
2020,rotation_oldest_rested,1782,0.33164983164983164
2021,fallback_most_recent,72,0.0
2021,none,30,0.0
2021,rotation_oldest_rested,4816,0.4171511627906977
2022,fallback_most_recent,82,0.0
2022,none,30,0.0
2022,rotation_oldest_rested,4810,0.42952182952182955
2023,fallback_most_recent,70,0.0
2023,none,30,0.0
2023,rotation_oldest_rested,4836,0.4522332506203474
2024,fallback_most_recent,77,0.0
2024,none,30,0.0
2024,rotation_oldest_rested,4829,0.46158624974114726
2025,fallback_most_recent,72,0.0
2025,none,30,0.0
2025,rotation_oldest_rested,4842,0.476456009913259
2026,fallback_most_recent,70,0.0
2026,none,30,0.0
2026,rotation_oldest_rested,3090,0.4459546925566343
